Year,NS Small Business,Type of Business,Received Small Business Impact Grant,Received Small Business Reopening and Support Grant
2020,HFX Sports Bar & Grill,Drinking establishment,yes,yes
2020,1 World Trading,In-person trade shows and exhibitions,yes,yes
2020,11 Street Boutique,Small retail,no,yes
2020,1st Quality Shoe Repair,Small retail,no,yes
2020,2b Theatre Company,"Live, performing arts for audience",yes,no
2020,2nd Glance Hair & Aesthetics,Personal care service,yes,yes
2020,30 Minute Hit,Fitness establishment,yes,yes
2020,30 Minute Hit,Fitness establishment,yes,yes
2020,30 Minute Hit,Fitness establishment,yes,yes
2020,30 Minute Hit,Fitness establishment,yes,yes
2020,360 Lounge,Restaurant with onsite dining,yes,yes
2020,360Fit Personal Training,Fitness establishment,yes,yes
2020,3's Company Hair Design,Personal care service,yes,yes
2020,4 Way Stop Restaurant and Pizzeria,Restaurant with onsite dining,yes,yes
2020,516 Salon,Personal care service,no,yes
2020,5th Dimension Hair Design,Personal care service,yes,yes
2020,5th Sense Massage Therapy,Self-regulated health professional,yes,yes
2020,7by7 Restaurant & The Parlour Sweet House,Restaurant with onsite dining,yes,yes
2020,80/20 Lifestyle Studio,Fitness establishment,yes,yes
2020,9+nine Chinese Cuisine,Restaurant with onsite dining,yes,yes
2020,902 Athletics,Fitness establishment,yes,yes
2020,902 Restaurant & Catering,Restaurant with onsite dining,yes,yes
2020,902HipHop,"Live, performing arts for audience",yes,yes
2020,9Round,Fitness establishment,yes,no
2020,A Different Touch Health Clinic,Self-regulated health professional,yes,yes
2020,A Good Day Kitchen and Cafe,Restaurant with onsite dining,no,yes
2020,A Taste of India,Restaurant with onsite dining,yes,yes
2020,A&W,Restaurant with onsite dining,yes,no
2020,A&W,Restaurant with onsite dining,no,yes
2020,A&W,Restaurant with onsite dining,yes,yes
2020,A&W,Restaurant with onsite dining,yes,yes
2020,A&W,Restaurant with onsite dining,yes,no
2020,A&W,Restaurant with onsite dining,yes,yes
2020,A&W,Restaurant with onsite dining,yes,no
2020,A&W,Restaurant with onsite dining,yes,yes
2020,A&W,Restaurant with onsite dining,yes,no
2020,A&W Restaurant,Restaurant with onsite dining,yes,no
2020,A&W Restaurants,Restaurant with onsite dining,yes,yes
2020,A-1 Pizza,Restaurant with onsite dining,yes,yes
2020,AAA Nails,Personal care service,yes,yes
2020,AB Care Healthcare,Personal care service,yes,yes
2020,Abalone Retreat,Self-regulated health professional,yes,yes
2020,Abenaki Aquatic Club,Not for profit,yes,yes
2020,Abercrombie Country Club,Restaurant with onsite dining,no,yes
2020,Aberdeen Alliance Dental,Dental office,no,yes
2020,Able Body Massage Therapy,Unregulated health professional,yes,yes
2020,Acadia Sports Therapy Clinic,Self-regulated health professional,yes,yes
2020,Acadian Beverage Room,Restaurant with onsite dining,yes,yes
2020,Acadie Fit,Fitness establishment,yes,yes
2020,Acadie Grouille,Fitness establishment,yes,yes
2020,Accel Physiotherapy & Sport Performance Centre,Self-regulated health professional,yes,yes
2020,Accel Physiotherapy and Sport Performance Centre,Self-regulated health professional,yes,no
2020,ACCEL Physiotherapy and Sport Performance Centre,Self-regulated health professional,yes,yes
2020,Access Acupuncture,Unregulated health professional,yes,yes
2020,Accurate Hearing NS,Self-regulated health professional,yes,yes
2020,Acres Animal Hospital,Veterinarian,yes,no
2020,Action Laser Tag,Small retail,no,yes
2020,Activate,Unregulated health professional,yes,yes
2020,Active Approach Health & Wellness Centre,Self-regulated health professional,yes,yes
2020,Active Edge,Unregulated health professional,yes,yes
2020,Active Life Physiotherapy & Massage Clinic,Self-regulated health professional,yes,yes
2020,Adda Indian Eatery,Restaurant with onsite dining,yes,yes
2020,Adept Tattoos & Body Piercing Studio,Personal care service,yes,yes
2020,Adjust to Wellness Family Chiropractic,Self-regulated health professional,yes,yes
2020,Admiral Digby Inn Restaurant,Restaurant with onsite dining,no,yes
2020,Dentistry4u,Dental office,no,yes
2020,Admiral Tavern Company,Restaurant with onsite dining,yes,yes
2020,Adorn Salon and Spa,Personal care service,yes,yes
2020,Advanced Back and Neck Centre,Unregulated health professional,yes,yes
2020,Advanced Mobility,Self-regulated health professional,yes,yes
2020,Advanced Systems Audio Visual,In-person trade shows and exhibitions,yes,yes
2020,Affirmative Ventures Association,Not for profit,yes,yes
2020,Africa Canada Trade and Investment Venture,In-person trade shows and exhibitions,yes,yes
2020,afrite,Restaurant with onsite dining,yes,yes
2020,Agenda Managers Inc.,In-person trade shows and exhibitions,yes,yes
2020,Aglow Laser Clinic & Medispa,Personal care service,yes,yes
2020,Agricola Health and Wellness,Self-regulated health professional,yes,yes
2020,Agricola Holistic Health,Unregulated health professional,yes,yes
2020,Ahead of Hair,Personal care service,yes,yes
2020,Akrata Operations,Restaurant with onsite dining,yes,yes
2020,Al Arz Pita Bakery,Restaurant with onsite dining,yes,yes
2020,Aladdin,Restaurant with onsite dining,no,yes
2020,Alderney Dental Group,Dental office,no,yes
2020,Alderney Landing,Not for profit,yes,yes
2020,Alexandra's Pizza,Restaurant with onsite dining,yes,yes
2020,Alexandra's Pizza,Restaurant with onsite dining,yes,yes
2020,Align Chiropractic and Wellness,Self-regulated health professional,no,yes
2020,All 4 Paws Pet Services,Personal care service,yes,yes
2020,All About Eyecare Optometrists,Self-regulated health professional,yes,yes
2020,All About Eyewear Optical,Self-regulated health professional,yes,yes
2020,All About You Lingerie & Boutique,Small retail,no,yes
2020,All Dolled Up Hair & Beauty,Personal care service,yes,yes
2020,All For Knot Rope Weaving,In-person trade shows and exhibitions,yes,yes
2020,All Points Massage Therapy,Unregulated health professional,yes,yes
2020,All Smiles Dental Hygiene Clinic,Self-regulated health professional,yes,yes
2020,All Sports and Wellness,Unregulated health professional,no,yes
2020,Alladin Syrian Canadian Restaurant,Restaurant with onsite dining,no,yes
2020,Alliance Chiropractic & Massage Therapy Services Inc.,Self-regulated health professional,yes,yes
2020,Alliance Dental,Dental office,no,yes
2020,Alliance Dental,Dental office,no,yes
2020,Alliance Dental,Dental office,no,yes
2020,Alliance Dental,Dental office,no,yes
2020,Alliance Dental,Dental office,no,yes
2020,Allied Therapy,Self-regulated health professional,yes,yes
2020,Alma's Family Hair Salon,Personal care service,yes,yes
2020,Almonak,Restaurant with onsite dining,yes,yes
2020,Alpha Chiropractic Clinic,Self-regulated health professional,yes,yes
2020,Alpha Laser Therapy Centre,Self-regulated health professional,yes,yes
2020,Alternative Approach Massage Therapy,Unregulated health professional,yes,yes
2020,Altima Dental,Dental office,no,yes
2020,Alya Optometry,Self-regulated health professional,yes,no
2020,AM Restaurant,Restaurant with onsite dining,yes,yes
2020,AMacPhotography,In-person trade shows and exhibitions,yes,no
2020,Ambili Esthetics,Personal care service,yes,yes
2020,Amherst Chiropractic,Self-regulated health professional,yes,no
2020,Amherst Family Dental Clinic,Dental office,no,yes
2020,Amherst Shore Country Inn,Restaurant with onsite dining,yes,yes
2020,Amherst Shotokan Karate Academy,Fitness establishment,yes,yes
2020,Amigos,Small retail,no,yes
2020,Amin's Indian Food,Restaurant with onsite dining,yes,yes
2020,Amos Family Dentistry,Dental office,no,yes
2020,Amy's Embroidery,Small retail,no,yes
2020,ANAF,Not for profit,yes,yes
2020,Anchor Dental,Dental office,no,yes
2020,Anchor Health Centre,Unregulated health professional,yes,yes
2020,Anchor Professional and Training Services,Personal care service,yes,yes
2020,Anchored Coffee Inc,Restaurant with onsite dining,yes,yes
2020,Anchors Away Family Restaurant,Restaurant with onsite dining,yes,no
2020,ANDO Salon & Laser,Personal care service,yes,yes
2020,Andrea's Jewelry Design,In-person trade shows and exhibitions,yes,yes
2020,Andrea's Music Studio,"Live, performing arts for audience",yes,no
2020,Andrew's Pizzeria,Restaurant with onsite dining,yes,no
2020,Anesis Esthetics and Electrolysis,Personal care service,yes,yes
2020,Angela's Home Decor,Small retail,no,yes
2020,Angela's Kitchen & Catering,Restaurant with onsite dining,no,yes
2020,Angels Nail & Spa,Personal care service,yes,yes
2020,Angie's Family Restaurant Ltd,Restaurant with onsite dining,yes,yes
2020,Annabell's Fashions,Small retail,no,yes
2020,Annapolis Brewing Company,Drinking establishment,yes,yes
2020,Annapolis Cider Company,Drinking establishment,yes,no
2020,Annapolis County Athletics Society,Fitness establishment,yes,yes
2020,Annapolis Eye Care Centre,Self-regulated health professional,yes,yes
2020,Annapolis Royal Family Dentistry,Dental office,no,yes
2020,Annapolis Valley Apple Blossom Festival,Charity,yes,yes
2020,Annapolis Valley Exhibition,Not for profit,yes,yes
2020,Annapolis Valley Wellness Centre,Self-regulated health professional,yes,yes
2020,Anna's Cafe & Grill,Restaurant with onsite dining,yes,yes
2020,Anna's Hair Salon,Personal care service,yes,yes
2020,Annie's Place Cafe,Restaurant with onsite dining,yes,yes
2020,Annis Hair Oasis,Personal care service,yes,yes
2020,Ansena Hair Salon & Extensions,Personal care service,no,yes
2020,Antigonish Aesthetic Centre,Personal care service,no,yes
2020,Antigonish Chiropractic,Self-regulated health professional,yes,yes
2020,Antigonish Family Dentistry,Dental office,no,yes
2020,Antigonish Optical,Self-regulated health professional,yes,yes
2020,Antigonish Veterinary Clinic,Veterinarian,yes,yes
2020,Antojo Tacos & Tequila,Restaurant with onsite dining,yes,yes
2020,Anxiety and Trauma Clinic of Nova Scotia,Self-regulated health professional,yes,yes
2020,Anything Fitness,Fitness establishment,yes,yes
2020,Apartment 3 Espresso Bar,Restaurant with onsite dining,yes,yes
2020,Apex Hearing,Self-regulated health professional,yes,yes
2020,Appearances Hair Studio,Personal care service,yes,yes
2020,Apple Blossom Dental,Dental office,no,yes
2020,Apple Valley CrossFit,Fitness establishment,yes,yes
2020,Appleton Chocolates Company,Small retail,no,yes
2020,AppleTown Dental Centre,Dental office,no,yes
2020,Applewoods Restaurant,Restaurant with onsite dining,yes,yes
2020,Ardmore Tea Room,Restaurant with onsite dining,yes,yes
2020,Ardoise Community Recreation Centre,Charity,yes,yes
2020,Argyle Fine Art,Small retail,no,yes
2020,Arirang Restaurant,Restaurant with onsite dining,yes,yes
2020,Armdale Chiropractic Health Centre,Self-regulated health professional,yes,yes
2020,Armview Dentistry,Dental office,no,yes
2020,Armview Restaurant & Lounge,Restaurant with onsite dining,yes,yes
2020,Army Navy and Airforce Veterans Association,Not for profit,yes,yes
2020,Arnold Chiropractic Clinic,Self-regulated health professional,yes,yes
2020,Arrow & Knot Productions,In-person trade shows and exhibitions,no,yes
2020,Art of Eating Deli & Catering,Restaurant with onsite dining,yes,yes
2020,Art of Healing,Unregulated health professional,no,yes
2020,Artburn Inc.,In-person trade shows and exhibitions,yes,yes
2020,Arthritis and Injury Care,Self-regulated health professional,yes,yes
2020,Artisan Hair Salon,Small retail,no,yes
2020,Artistic Hair Workx,Personal care service,yes,yes
2020,Artsy Fartsy,Unregulated health professional,yes,yes
2020,As You like It,Restaurant with onsite dining,yes,yes
2020,As You Like It Creative Sandwich Bar,Restaurant with onsite dining,no,yes
2020,As You Like It Creative Sandwich Bar,Restaurant with onsite dining,no,yes
2020,Asado Wood Fired Grill,Restaurant with onsite dining,yes,yes
2020,Asana Yoga & Massage,Personal care service,no,yes
2020,Ascendo Fitness,Fitness establishment,yes,yes
2020,Ascension Barbershop and Acccessories,Personal care service,yes,yes
2020,Ascension Grooming,Personal care service,no,yes
2020,Ashlei Ballet School,Fitness establishment,yes,yes
2020,Aspirations Hair Design,Personal care service,yes,yes
2020,Aspire Esthetics,Personal care service,yes,yes
2020,Associate Chiropractic Centre,Self-regulated health professional,yes,yes
2020,At Nadine's Unisex Hairstyling,Personal care service,yes,yes
2020,Atelier Esthetics,Personal care service,yes,yes
2020,Athens Restaurant,Restaurant with onsite dining,yes,yes
2020,Athletic Therapist and Manual Osteopathy,Unregulated health professional,yes,yes
2020,Athletics Gymnastics Academy,Fitness establishment,yes,yes
2020,Atlantic Assisted Reproductive Therapies,Not for profit,yes,no
2020,Atlantic AudioPro,"Live, performing arts for audience",yes,yes
2020,Atlantic Balance and Dizziness Centre,Self-regulated health professional,yes,yes
2020,Atlantic Canada Water and Wastewater Association,Not for profit,yes,yes
2020,Atlantic Cat Hospital Company,Veterinarian,yes,yes
2020,Atlantic Chican Seafood,Fitness establishment,yes,no
2020,Atlantic Chip Sport Timing,In-person trade shows and exhibitions,yes,yes
2020,Atlantic Chiropractic,Self-regulated health professional,yes,yes
2020,Atlantic Cirque,Fitness establishment,yes,yes
2020,Atlantic Dance Academy,Fitness establishment,yes,yes
2020,Atlantic Dental,Dental office,no,yes
2020,Atlantic Eye Centre,Self-regulated health professional,yes,yes
2020,Atlantic Massage Therapy Clinic,Unregulated health professional,yes,yes
2020,Atlantic Oral Surgery Associates,Dental office,no,yes
2020,Atlantic Roots Hair Design,Personal care service,yes,no
2020,Atlantic Skin Care,Personal care service,yes,yes
2020,Atlantic Smile Dentistry,Dental office,no,yes
2020,Atlantic Tennis Centre,Fitness establishment,yes,yes
2020,Atlantic Wedding Showcase,In-person trade shows and exhibitions,yes,no
2020,Atmosphere Day Spa,Personal care service,yes,yes
2020,Attune Chiropractic Centre,Self-regulated health professional,yes,yes
2020,Auberge Giseles Inn and Restaurant,Restaurant with onsite dining,no,yes
2020,Auberge Yellow Tuna,Fitness establishment,yes,yes
2020,Aulds Cove Petro Canada,Independent gas retail,no,yes
2020,Aumbience Yoga,Fitness establishment,yes,yes
2020,Aura Massage Therapy,Unregulated health professional,yes,yes
2020,Aurora Aesthetics,Personal care service,yes,yes
2020,Aurora Massage Therapy,Unregulated health professional,yes,yes
2020,Aurora Massage Therapy Clinic,Unregulated health professional,yes,yes
2020,Authentic Chinese Acupuncture,Self-regulated health professional,no,yes
2020,Autism Nova Scotia,Charity,yes,yes
2020,Avodah Cafe & Ice Cream Hut,Restaurant with onsite dining,yes,yes
2020,Avon Denture Clinic,Self-regulated health professional,yes,yes
2020,Avon Valley Bowling Lanes,Drinking establishment,yes,yes
2020,Awareness Golf,Fitness establishment,yes,yes
2020,AXE,Restaurant with onsite dining,yes,yes
2020,Aylesford & District Lions Club,Not for profit,yes,yes
2020,Aziz Master Taylor and Dry Cleaning,Small retail,no,yes
2020,Baby Chic Clothing & Shoes,Small retail,no,yes
2020,Baby Panda Asian Cuisine,Restaurant with onsite dining,yes,yes
2020,Back Street Music,"Live, performing arts for audience",yes,no
2020,Back to Basics Physiotherapy,Self-regulated health professional,yes,yes
2020,Back to Health Chiropractic,Self-regulated health professional,yes,yes
2020,Backoos Korean Food,Restaurant with onsite dining,no,yes
2020,Bad Apple Brewhouse,Drinking establishment,yes,yes
2020,Baddeck Dental Clinic,Dental office,no,yes
2020,Baddeck Veterinary Clinic,Veterinarian,yes,yes
2020,Bai Wei Bar & Grill,Restaurant with onsite dining,yes,yes
2020,Baidu Traditional Chinese Medicine Clinic,Unregulated health professional,yes,yes
2020,Baile-Mor Salon Spa,Personal care service,yes,yes
2020,"Bailey's Bakery, Seafood & Grill Restaurant",Restaurant with onsite dining,no,yes
2020,Bain's Old World Bakery,Restaurant with onsite dining,yes,yes
2020,Baked Food Café,Restaurant with onsite dining,yes,yes
2020,Baked Inn Bakery & Eatery,Restaurant with onsite dining,yes,yes
2020,Balance Chiropractic,Self-regulated health professional,yes,yes
2020,Balance FItness,Fitness establishment,no,yes
2020,Balance Massage & Doula,Unregulated health professional,no,yes
2020,Balance Physiotherapy,Self-regulated health professional,yes,yes
2020,Bamboo Garden,Restaurant with onsite dining,yes,no
2020,Banfield Ocular Prosthetics Services,Unregulated health professional,yes,yes
2020,Banook Canoe Club,Not for profit,yes,yes
2020,Banook Fitness,Fitness establishment,yes,yes
2020,Bao Phu Restaurant Limited,Restaurant with onsite dining,no,yes
2020,Bap House Korean Kitchen,Restaurant with onsite dining,yes,no
2020,Bap House Korean Kitchen,Restaurant with onsite dining,no,yes
2020,Bar Kismet,Restaurant with onsite dining,yes,yes
2020,Bar Stillwell,Drinking establishment,yes,yes
2020,BARA Management Group,In-person trade shows and exhibitions,yes,yes
2020,Barbers Corner,Personal care service,yes,yes
2020,Barefoot Massage Therapy,Unregulated health professional,yes,yes
2020,Barre Fragrance and Skin Care,Personal care service,yes,yes
2020,Barrelling Tide Distillery,Drinking establishment,yes,yes
2020,Barrington & Area Chamber of Commerce,Not for profit,yes,no
2020,Barrington Dental,Dental office,no,yes
2020,Barron's Family Dentistry,Dental office,no,yes
2020,Barykin Bistro,Restaurant with onsite dining,yes,yes
2020,Basha Halifax restaurant,Restaurant with onsite dining,yes,yes
2020,Basil Audio Visual,"Live, performing arts for audience",yes,yes
2020,Basin View Chiropractic,Self-regulated health professional,yes,yes
2020,Basin View Family Dentistry,Dental office,no,yes
2020,Basinview Dental Centre,Self-regulated health professional,no,yes
2020,Bateston Athletic Pensioners and Seniors Club,Not for profit,yes,yes
2020,Baton Rouge Restaurant,Restaurant with onsite dining,yes,yes
