ID,Name,TypeofLMI,LMIName,Description,Location,TargetAudience,Access,UpdateFrequency,InformationDepth,ReleaseDate,SegmentSpecific
146,Trucking HR Canada,products,Trucking HR Canada,"Our goal is to monitor challenges, help you address them, and position your business to face the changing environment and meet the economic landscape of tomorrow.",https://truckinghr.com/,,Restricted,,Regional,,NA
147,Department of Labour and Advanced Education,products,Occupational Profiles - Job Descriptions,List commonly required LMI on specific job profiles based on NOC (National Occupational Codes).,http://explorecareers.novascotia.ca,,Open,Annually,Regional,,Any / All
1,(CARS) Canadian Automotive Repair Service,products,(CARS Council) Canadian Automotive Repair Service,"Your source for information, human-resource training and news about the Canadian Automotive Repair and Service Industry.",http://www.cars-council.ca/,,OPEN,,Regional,,Any / All
2,(CCAA) Canadian Council for Aviation and Aerospace,products,(CCAA) Canadian Council for Aviation and Aerospace,"To develop, promote and administer a comprehensive and effective human resources strategy for the Canadian aviation and aerospace industry.",http://www.avaerocouncil.ca/index.php?lang=en,,Restricted,,Regional,,Any / All
3,Indigenous Works,products,Indigenous Works,To advance the full labour market participation of Aboriginal Peoples in Canada and Indigenous Peoples around the world.,https://indigenousworks.ca,,OPEN,,Regional,,Any / All
5,Atlantic Canada Aerospace and Defence Association,products,Atlantic Canada Aerospace and Defence Association,"The ACADA has a mandate to promote and facilitate the growth of our Atlantic Canadian aerospace, defence, marine and security industries.",https://ac-ada.ca,,Restricted,,Regional,,Any / All
6,Apparel Connexion,products,Apparel Connexion,"Our mandate is to create business opportunities for our industry by developing tools and services to help apparel manufacturers recruit, hire and retain a creative and an innovative workforce.",http://www.apparelconnexion.com,,Restricted,,Regional,,Any / All
7,Colleges and Institutes Canada,products,Colleges and Institutes Canada,"Colleges and Institutes Canada (CICan) is the national, voluntary membership organization representing publicly supported colleges, institutes, cegeps and polytechnics in Canada and internationally.",https://www.collegesinstitutes.ca/,,OPEN,,National,,Any / All
8,Association of Industry Sector Councils,research,Industry Sector Councils,"Committed to the development of a skilled, professional workforce for Nova Scotia.",http://www.aisc.ca/about.html,,open,,Provincial,,Any / All
9,Association of Nova Scotia Land Surveyors,products,Association of Nova Scotia Land Surveyors,"The purpose of the organization is to promote the common welfare of the surveyors of the province in guidance, maintenance of ethical conduct, and common action in all matters concerning the Association and the public.",http://www.ansls.ca/,,OPEN,,Provincial,,Any / All
