Region,Region Type,Year,Reliance on Government Transfers,Uncollected Taxes,3 Year Change in Tax Base,Reliance on Single Business or Instituion,Residential Tax Effort,Total # of Deficits,Total # of Budget Accuracy within + or - 5% ,Liquidity,Operating Reserve,Debt Service Cost,Outstanding Operating Debt,Undepreciated Assets,Combined Operating   Capital Reserves
CBRM,Regional Municipality,2020-21,0.159,0.138,0.09,0.015,0.03,0,,2.8,0.096,0.104,0.331,0.603,0.148
HRM,Regional Municipality,2020-21,0.078,0.039,0.104,0.018,0.038,0,,2.2,0.199,0.063,0.002,0.47,0.464
Queens,Regional Municipality,2020-21,0.087,0.057,0.079,0.04,0.029,0,,8.9,0.785,0.026,0,0.632,1.143
West Hants,Regional Municipality,2020-21,0.041,0.135,0,0.008,0.028,0,,1.7,0.644,0.094,0.002,0.681,0.716
Amherst,Town,2020-21,0.112,0.021,0.008,0.014,0.036,0,,2.9,0.276,0.071,0,0.568,0.349
Annapolis Royal,Town,2020-21,0.134,0.016,0.174,0.167,0.047,0,,6.4,0.403,0.027,0,0.51,0.734
Antigonish,Town,2020-21,0.059,0.045,0.025,0.017,0.035,0,,1.5,0.195,0.048,0,0.556,0.441
Berwick,Town,2020-21,0.091,0.018,0.077,0.042,0.043,0,,1.5,0.191,0.095,0,0.524,0.305
Bridgewater,Town,2020-21,0.085,0.068,0.038,0.047,0.048,0,,3.5,0.539,0.042,0,0.478,0.548
Clark's Harbour,Town,2020-21,0.191,0.051,0.048,0.044,0.027,1,,1.3,0.104,0.03,0,0.369,0.423
Digby,Town,2020-21,0.091,0.067,0.016,0.032,0.053,0,,2.3,0.372,0.069,0,0.49,0.446
Kentville,Town,2020-21,0.048,0.02,0.061,0.023,0.041,0,,3.2,0.134,0.092,0,0.559,1.186
Lockeport,Town,2020-21,0.168,0.073,0.084,0.133,0.039,2,,3.6,0.369,0.047,0,0.385,0.469
Lunenburg,Town,2020-21,0.053,0.086,0.074,0.025,0.056,0,,1.3,0.169,0.071,0,0.576,0.401
Mahone Bay,Town,2020-21,0.023,0.036,0.074,0.013,0.051,0,,1.2,0.117,0.038,0,0.5,0.59
Middleton,Town,2020-21,0.123,0.033,0.008,0.01,0.051,1,,2.3,0.109,0.086,0.07,0.499,0.358
Mulgrave,Town,2020-21,0.115,0.13,0.014,0.162,0.022,0,,2.9,0.253,0.023,0,0.339,0.478
New Glasgow,Town,2020-21,0.113,0.08,0.006,0.033,0.041,0,,1.9,0.22,0.112,0.06,0.497,0.222
Oxford,Town,2020-21,0.096,0.038,0.051,0.29,0.034,2,,1.1,0.032,0.122,0.025,0.433,0.163
Pictou,Town,2020-21,0.107,0.128,0.012,0.025,0.038,0,,2.6,0.147,0.065,0,0.509,0.288
Port Hawkesbury,Town,2020-21,0.178,0.044,0.013,0.065,0.028,0,,5.4,0.559,0.089,0,0.522,0.533
Shelburne,Town,2020-21,0.12,0.077,0.049,0.039,0.047,0,,2,0.234,0.076,0,0.522,0.372
Stellarton,Town,2020-21,0.099,0.055,0.016,0.048,0.032,0,,2.2,0.243,0.102,0,0.487,0.385
Stewiacke,Town,2020-21,0.14,0.043,0.062,0.015,0.041,1,,4.3,0.618,0.063,0,0.515,0.684
Trenton,Town,2020-21,0.132,0.063,0.084,0.238,0.033,1,,1.4,0.087,0.108,0,0.538,0.114
Truro,Town,2020-21,0.113,0.04,0.027,0.02,0.045,0,,1.3,0.083,0.083,0.035,0.558,0.257
Westville,Town,2020-21,0.212,0.088,0.021,0.01,0.034,0,,1.8,0.112,0.079,0,0.463,0.278
Wolfville,Town,2020-21,0.039,0.07,0.069,0.006,0.045,0,,2.7,0.3,0.074,0,0.591,0.533
Yarmouth,Town,2020-21,0.062,0.076,0.042,0.041,0.045,1,,2.2,0.105,0.023,0,0.599,0.222
Annapolis,Rural Municipality,2020-21,0.092,0.053,0.08,0.018,0.026,2,,1.1,0.092,0.021,0.026,0.62,0.482
Antigonish,Rural Municipality,2020-21,0.058,0.036,0.117,0.006,0.019,0,,2.6,0.405,0.022,0,0.566,1.439
Argyle,Rural Municipality,2020-21,0.058,0.043,0.062,0.003,0.018,0,,7.2,0.619,0.023,0.275,0.672,0.781
Barrington,Rural Municipality,2020-21,0.063,0.104,0.063,0.009,0.02,1,,3.7,0.283,0.015,0,0.503,0.625
Chester,Rural Municipality,2020-21,0.014,0.109,0.096,0.003,0.037,0,,2.7,1.159,0.105,0,0.374,1.12
Clare,Rural Municipality,2020-21,0.119,0.035,0.043,0.008,0.02,1,,4.4,0.404,0.043,0,0.537,0.756
Colchester,Rural Municipality,2020-21,0.057,0.082,0.08,0.011,0.022,1,,3.6,0.209,0.067,0.057,0.48,0.434
Cumberland,Rural Municipality,2020-21,0.08,0.079,0.079,0.022,0.025,0,,2.4,0.247,0.053,0.006,0.704,0.502
Digby,Rural Municipality,2020-21,0.083,0.096,0.069,0.073,0.024,0,,8.3,0.784,0.029,0,0.587,0.832
East Hants,Rural Municipality,2020-21,0.044,0.049,0.108,0.011,0.028,0,,3.8,0.874,0.113,0.125,0.662,1.033
Guysborough,Rural Municipality,2020-21,0.02,0.043,-0.037,0.086,0.015,0,,7,0.918,0.07,0,0.566,1.094
Inverness,Rural Municipality,2020-21,0.084,0.097,0.114,0.014,0.019,0,,4,0.71,0.017,0,0.502,0.929
Kings,Rural Municipality,2020-21,0.016,0.037,0.077,0.025,0.023,0,,2.1,0.367,0.017,0,0.529,0.78
Lunenburg,Rural Municipality,2020-21,0.074,0.047,0.076,0.003,0.024,0,,2.9,0.864,0.113,0,0.773,0.983
Pictou,Rural Municipality,2020-21,0.018,0.055,0.078,0.025,0.019,0,,2.4,0.378,0,0.103,0.689,0.486
Richmond,Rural Municipality,2020-21,0.013,0.193,0.022,0.092,0.015,1,,3.3,0.652,0.03,0.021,0.605,0.91
Shelburne,Rural Municipality,2020-21,0.038,0.021,0.086,0.011,0.024,0,,8.4,0.716,0,0.012,0.44,1.265
St. Mary's,Rural Municipality,2020-21,0.106,0.083,0.068,0.095,0.016,0,,3.3,0.674,0.064,0.012,0.546,0.832
